x,y
0,0
0.0039,0.133333333
0.0067,0.266666667
0.00819,0.115384615
0.0102,0.230769231
0.0121,0.055555556
0.015,0.166666667
0.0357,0.346153846
0.0401,0.461538462
0.0419,0.277777778
0.0491,0.433333333
0.0523,0.615384615
0.0549,0.5
0.0564,0.388888889
0.0641,0.6
0.0793,0.769230769
0.0795,0.555555556
0.0877,0.666666667
0.1269,0.722222222
0.128,0.8
0.1318,1
0.1707,1
0.256,1
